shape,relpath,dtw_vs_avg_demo
Angle,no_llc_pulse/Angle_no_llc_direct-midpulse_NODE.npz,8057.544520
Angle,no_llc_pulse/Angle_no_llc_direct-midpulse_NODE_CLF.npz,6410.318170
Angle,no_llc_pulse/Angle_no_llc_direct-midpulse_NODE_CLF_L1.npz,2654.780273
Angle,with_llc_matched_const/Angle_with_llc_matched-const_NODE.npz,2299.260786
Angle,with_llc_matched_const/Angle_with_llc_matched-const_NODE_CLF.npz,2273.979697
Angle,with_llc_matched_const/Angle_with_llc_matched-const_NODE_CLF_L1.npz,1979.030652
Angle,with_llc_matched_sine/Angle_with_llc_matched-sine_NODE.npz,2283.183027
Angle,with_llc_matched_sine/Angle_with_llc_matched-sine_NODE_CLF.npz,2266.399286
Angle,with_llc_matched_sine/Angle_with_llc_matched-sine_NODE_CLF_L1.npz,1976.619098
Angle,with_llc_none/Angle_with_llc_none_NODE.npz,2299.041201
Angle,with_llc_none/Angle_with_llc_none_NODE_CLF.npz,2274.101703
Angle,with_llc_none/Angle_with_llc_none_NODE_CLF_L1.npz,1978.976929
Angle,with_llc_unmatched_const/Angle_with_llc_unmatched-const_NODE.npz,4252.217042
Angle,with_llc_unmatched_const/Angle_with_llc_unmatched-const_NODE_CLF.npz,2808.607293
Angle,with_llc_unmatched_const/Angle_with_llc_unmatched-const_NODE_CLF_L1.npz,1978.364764
Angle,with_llc_unmatched_sine/Angle_with_llc_unmatched-sine_NODE.npz,3934.413057
Angle,with_llc_unmatched_sine/Angle_with_llc_unmatched-sine_NODE_CLF.npz,3606.128592
Angle,with_llc_unmatched_sine/Angle_with_llc_unmatched-sine_NODE_CLF_L1.npz,2398.667999
