shape,relpath,dtw_vs_avg_demo
CShape,no_llc_pulse/CShape_no_llc_direct-midpulse_NODE.npz,4510.320839
CShape,no_llc_pulse/CShape_no_llc_direct-midpulse_NODE_CLF.npz,2628.651327
CShape,no_llc_pulse/CShape_no_llc_direct-midpulse_NODE_CLF_L1.npz,1042.364406
CShape,with_llc_matched_const/CShape_with_llc_matched-const_NODE.npz,3372.649499
CShape,with_llc_matched_const/CShape_with_llc_matched-const_NODE_CLF.npz,2038.334522
CShape,with_llc_matched_const/CShape_with_llc_matched-const_NODE_CLF_L1.npz,518.080593
CShape,with_llc_matched_sine/CShape_with_llc_matched-sine_NODE.npz,3387.734898
CShape,with_llc_matched_sine/CShape_with_llc_matched-sine_NODE_CLF.npz,2036.283922
CShape,with_llc_matched_sine/CShape_with_llc_matched-sine_NODE_CLF_L1.npz,516.343716
CShape,with_llc_none/CShape_with_llc_none_NODE.npz,3373.613031
CShape,with_llc_none/CShape_with_llc_none_NODE_CLF.npz,2039.132566
CShape,with_llc_none/CShape_with_llc_none_NODE_CLF_L1.npz,518.073900
CShape,with_llc_unmatched_const/CShape_with_llc_unmatched-const_NODE.npz,4640.554406
CShape,with_llc_unmatched_const/CShape_with_llc_unmatched-const_NODE_CLF.npz,2179.945615
CShape,with_llc_unmatched_const/CShape_with_llc_unmatched-const_NODE_CLF_L1.npz,438.963761
CShape,with_llc_unmatched_sine/CShape_with_llc_unmatched-sine_NODE.npz,4955.399287
CShape,with_llc_unmatched_sine/CShape_with_llc_unmatched-sine_NODE_CLF.npz,3849.682590
CShape,with_llc_unmatched_sine/CShape_with_llc_unmatched-sine_NODE_CLF_L1.npz,578.782637
