shape,relpath,dtw_vs_avg_demo
DoubleBendedLine,no_llc_pulse/DoubleBendedLine_no_llc_direct-midpulse_NODE.npz,6379.828452
DoubleBendedLine,no_llc_pulse/DoubleBendedLine_no_llc_direct-midpulse_NODE_CLF.npz,2994.306567
DoubleBendedLine,no_llc_pulse/DoubleBendedLine_no_llc_direct-midpulse_NODE_CLF_L1.npz,569.796403
DoubleBendedLine,with_llc_matched_const/DoubleBendedLine_with_llc_matched-const_NODE.npz,10126.007682
DoubleBendedLine,with_llc_matched_const/DoubleBendedLine_with_llc_matched-const_NODE_CLF.npz,3427.033564
DoubleBendedLine,with_llc_matched_const/DoubleBendedLine_with_llc_matched-const_NODE_CLF_L1.npz,1284.644910
DoubleBendedLine,with_llc_matched_sine/DoubleBendedLine_with_llc_matched-sine_NODE.npz,10200.024149
DoubleBendedLine,with_llc_matched_sine/DoubleBendedLine_with_llc_matched-sine_NODE_CLF.npz,3428.945825
DoubleBendedLine,with_llc_matched_sine/DoubleBendedLine_with_llc_matched-sine_NODE_CLF_L1.npz,1282.966291
DoubleBendedLine,with_llc_none/DoubleBendedLine_with_llc_none_NODE.npz,10127.284231
DoubleBendedLine,with_llc_none/DoubleBendedLine_with_llc_none_NODE_CLF.npz,3426.674136
DoubleBendedLine,with_llc_none/DoubleBendedLine_with_llc_none_NODE_CLF_L1.npz,1284.623835
DoubleBendedLine,with_llc_unmatched_const/DoubleBendedLine_with_llc_unmatched-const_NODE.npz,11224.822395
DoubleBendedLine,with_llc_unmatched_const/DoubleBendedLine_with_llc_unmatched-const_NODE_CLF.npz,3406.222416
DoubleBendedLine,with_llc_unmatched_const/DoubleBendedLine_with_llc_unmatched-const_NODE_CLF_L1.npz,1231.654133
DoubleBendedLine,with_llc_unmatched_sine/DoubleBendedLine_with_llc_unmatched-sine_NODE.npz,11612.282832
DoubleBendedLine,with_llc_unmatched_sine/DoubleBendedLine_with_llc_unmatched-sine_NODE_CLF.npz,3832.102877
DoubleBendedLine,with_llc_unmatched_sine/DoubleBendedLine_with_llc_unmatched-sine_NODE_CLF_L1.npz,1291.553613
