shape,relpath,dtw_vs_avg_demo
GShape,no_llc_pulse/GShape_no_llc_direct-midpulse_NODE.npz,6839.420142
GShape,no_llc_pulse/GShape_no_llc_direct-midpulse_NODE_CLF.npz,3697.105600
GShape,no_llc_pulse/GShape_no_llc_direct-midpulse_NODE_CLF_L1.npz,1454.737735
GShape,with_llc_matched_const/GShape_with_llc_matched-const_NODE.npz,9147.875907
GShape,with_llc_matched_const/GShape_with_llc_matched-const_NODE_CLF.npz,3760.666031
GShape,with_llc_matched_const/GShape_with_llc_matched-const_NODE_CLF_L1.npz,794.678577
GShape,with_llc_matched_sine/GShape_with_llc_matched-sine_NODE.npz,9151.869129
GShape,with_llc_matched_sine/GShape_with_llc_matched-sine_NODE_CLF.npz,3755.344956
GShape,with_llc_matched_sine/GShape_with_llc_matched-sine_NODE_CLF_L1.npz,793.773712
GShape,with_llc_none/GShape_with_llc_none_NODE.npz,9148.008161
GShape,with_llc_none/GShape_with_llc_none_NODE_CLF.npz,3760.339973
GShape,with_llc_none/GShape_with_llc_none_NODE_CLF_L1.npz,794.668640
GShape,with_llc_unmatched_const/GShape_with_llc_unmatched-const_NODE.npz,8128.143632
GShape,with_llc_unmatched_const/GShape_with_llc_unmatched-const_NODE_CLF.npz,3619.362867
GShape,with_llc_unmatched_const/GShape_with_llc_unmatched-const_NODE_CLF_L1.npz,763.501058
GShape,with_llc_unmatched_sine/GShape_with_llc_unmatched-sine_NODE.npz,10206.332126
GShape,with_llc_unmatched_sine/GShape_with_llc_unmatched-sine_NODE_CLF.npz,3926.615308
GShape,with_llc_unmatched_sine/GShape_with_llc_unmatched-sine_NODE_CLF_L1.npz,829.174626
