shape,relpath,dtw_vs_avg_demo
SShape,no_llc_pulse/Sshape_no_llc_direct-midpulse_NODE.npz,3945.872489
SShape,no_llc_pulse/Sshape_no_llc_direct-midpulse_NODE_CLF.npz,3489.141971
SShape,no_llc_pulse/Sshape_no_llc_direct-midpulse_NODE_CLF_L1.npz,800.125895
SShape,with_llc_matched_const/Sshape_with_llc_matched-const_NODE.npz,2617.312417
SShape,with_llc_matched_const/Sshape_with_llc_matched-const_NODE_CLF.npz,2725.016585
SShape,with_llc_matched_const/Sshape_with_llc_matched-const_NODE_CLF_L1.npz,884.490655
SShape,with_llc_matched_sine/Sshape_with_llc_matched-sine_NODE.npz,2643.369985
SShape,with_llc_matched_sine/Sshape_with_llc_matched-sine_NODE_CLF.npz,2738.050920
SShape,with_llc_matched_sine/Sshape_with_llc_matched-sine_NODE_CLF_L1.npz,884.648025
SShape,with_llc_none/Sshape_with_llc_none_NODE.npz,2617.536319
SShape,with_llc_none/Sshape_with_llc_none_NODE_CLF.npz,2724.838797
SShape,with_llc_none/Sshape_with_llc_none_NODE_CLF_L1.npz,884.496598
SShape,with_llc_unmatched_const/Sshape_with_llc_unmatched-const_NODE.npz,6316.132047
SShape,with_llc_unmatched_const/Sshape_with_llc_unmatched-const_NODE_CLF.npz,4563.471687
SShape,with_llc_unmatched_const/Sshape_with_llc_unmatched-const_NODE_CLF_L1.npz,915.385793
SShape,with_llc_unmatched_sine/Sshape_with_llc_unmatched-sine_NODE.npz,2681.236166
SShape,with_llc_unmatched_sine/Sshape_with_llc_unmatched-sine_NODE_CLF.npz,2051.151318
SShape,with_llc_unmatched_sine/Sshape_with_llc_unmatched-sine_NODE_CLF_L1.npz,842.049416
