shape,relpath,dtw_vs_avg_demo
Sine,no_llc_pulse/Sine_no_llc_direct-midpulse_NODE.npz,3942.774065
Sine,no_llc_pulse/Sine_no_llc_direct-midpulse_NODE_CLF.npz,2665.956565
Sine,no_llc_pulse/Sine_no_llc_direct-midpulse_NODE_CLF_L1.npz,588.770933
Sine,with_llc_matched_const/Sine_with_llc_matched-const_NODE.npz,1875.769431
Sine,with_llc_matched_const/Sine_with_llc_matched-const_NODE_CLF.npz,2149.979765
Sine,with_llc_matched_const/Sine_with_llc_matched-const_NODE_CLF_L1.npz,650.694202
Sine,with_llc_matched_sine/Sine_with_llc_matched-sine_NODE.npz,1891.572367
Sine,with_llc_matched_sine/Sine_with_llc_matched-sine_NODE_CLF.npz,2154.644569
Sine,with_llc_matched_sine/Sine_with_llc_matched-sine_NODE_CLF_L1.npz,650.470793
Sine,with_llc_none/Sine_with_llc_none_NODE.npz,1876.562052
Sine,with_llc_none/Sine_with_llc_none_NODE_CLF.npz,2150.909583
Sine,with_llc_none/Sine_with_llc_none_NODE_CLF_L1.npz,650.730862
Sine,with_llc_unmatched_const/Sine_with_llc_unmatched-const_NODE.npz,3286.373631
Sine,with_llc_unmatched_const/Sine_with_llc_unmatched-const_NODE_CLF.npz,1959.313357
Sine,with_llc_unmatched_const/Sine_with_llc_unmatched-const_NODE_CLF_L1.npz,642.153839
Sine,with_llc_unmatched_sine/Sine_with_llc_unmatched-sine_NODE.npz,2394.669487
Sine,with_llc_unmatched_sine/Sine_with_llc_unmatched-sine_NODE_CLF.npz,2179.914732
Sine,with_llc_unmatched_sine/Sine_with_llc_unmatched-sine_NODE_CLF_L1.npz,565.073532
