shape,relpath,dtw_vs_avg_demo
Snake,no_llc_pulse/Snake_no_llc_direct-midpulse_NODE.npz,9807.144000
Snake,no_llc_pulse/Snake_no_llc_direct-midpulse_NODE_CLF.npz,4238.990299
Snake,no_llc_pulse/Snake_no_llc_direct-midpulse_NODE_CLF_L1.npz,1152.695254
Snake,with_llc_matched_const/Snake_with_llc_matched-const_NODE.npz,2230.232928
Snake,with_llc_matched_const/Snake_with_llc_matched-const_NODE_CLF.npz,2260.109749
Snake,with_llc_matched_const/Snake_with_llc_matched-const_NODE_CLF_L1.npz,813.447384
Snake,with_llc_matched_sine/Snake_with_llc_matched-sine_NODE.npz,2226.625443
Snake,with_llc_matched_sine/Snake_with_llc_matched-sine_NODE_CLF.npz,2258.904909
Snake,with_llc_matched_sine/Snake_with_llc_matched-sine_NODE_CLF_L1.npz,812.746624
Snake,with_llc_none/Snake_with_llc_none_NODE.npz,2230.010710
Snake,with_llc_none/Snake_with_llc_none_NODE_CLF.npz,2260.359802
Snake,with_llc_none/Snake_with_llc_none_NODE_CLF_L1.npz,813.421911
Snake,with_llc_unmatched_const/Snake_with_llc_unmatched-const_NODE.npz,4303.554640
Snake,with_llc_unmatched_const/Snake_with_llc_unmatched-const_NODE_CLF.npz,2855.629040
Snake,with_llc_unmatched_const/Snake_with_llc_unmatched-const_NODE_CLF_L1.npz,791.201806
Snake,with_llc_unmatched_sine/Snake_with_llc_unmatched-sine_NODE.npz,3255.804278
Snake,with_llc_unmatched_sine/Snake_with_llc_unmatched-sine_NODE_CLF.npz,2582.049540
Snake,with_llc_unmatched_sine/Snake_with_llc_unmatched-sine_NODE_CLF_L1.npz,855.724492
