shape,relpath,dtw_vs_avg_demo
WShape,no_llc_pulse/WShape_no_llc_direct-midpulse_NODE.npz,5788.309079
WShape,no_llc_pulse/WShape_no_llc_direct-midpulse_NODE_CLF.npz,5934.291613
WShape,no_llc_pulse/WShape_no_llc_direct-midpulse_NODE_CLF_L1.npz,4939.414596
WShape,with_llc_matched_const/WShape_with_llc_matched-const_NODE.npz,5261.443750
WShape,with_llc_matched_const/WShape_with_llc_matched-const_NODE_CLF.npz,5094.854379
WShape,with_llc_matched_const/WShape_with_llc_matched-const_NODE_CLF_L1.npz,4641.103840
WShape,with_llc_matched_sine/WShape_with_llc_matched-sine_NODE.npz,5256.986477
WShape,with_llc_matched_sine/WShape_with_llc_matched-sine_NODE_CLF.npz,5103.667333
WShape,with_llc_matched_sine/WShape_with_llc_matched-sine_NODE_CLF_L1.npz,4641.791729
WShape,with_llc_none/WShape_with_llc_none_NODE.npz,5261.687881
WShape,with_llc_none/WShape_with_llc_none_NODE_CLF.npz,5101.116858
WShape,with_llc_none/WShape_with_llc_none_NODE_CLF_L1.npz,4641.069025
WShape,with_llc_unmatched_const/WShape_with_llc_unmatched-const_NODE.npz,5741.899910
WShape,with_llc_unmatched_const/WShape_with_llc_unmatched-const_NODE_CLF.npz,5163.461747
WShape,with_llc_unmatched_const/WShape_with_llc_unmatched-const_NODE_CLF_L1.npz,4703.913459
WShape,with_llc_unmatched_sine/WShape_with_llc_unmatched-sine_NODE.npz,6003.840456
WShape,with_llc_unmatched_sine/WShape_with_llc_unmatched-sine_NODE_CLF.npz,6084.627983
WShape,with_llc_unmatched_sine/WShape_with_llc_unmatched-sine_NODE_CLF_L1.npz,4816.376471
