shape,relpath,dtw_vs_avg_demo
Worm,no_llc_pulse/Worm_no_llc_direct-midpulse_NODE.npz,5129.570528
Worm,no_llc_pulse/Worm_no_llc_direct-midpulse_NODE_CLF.npz,4282.793954
Worm,no_llc_pulse/Worm_no_llc_direct-midpulse_NODE_CLF_L1.npz,1044.390615
Worm,with_llc_matched_const/Worm_with_llc_matched-const_NODE.npz,1477.861225
Worm,with_llc_matched_const/Worm_with_llc_matched-const_NODE_CLF.npz,1098.931466
Worm,with_llc_matched_const/Worm_with_llc_matched-const_NODE_CLF_L1.npz,460.474562
Worm,with_llc_matched_sine/Worm_with_llc_matched-sine_NODE.npz,1437.734605
Worm,with_llc_matched_sine/Worm_with_llc_matched-sine_NODE_CLF.npz,1088.261086
Worm,with_llc_matched_sine/Worm_with_llc_matched-sine_NODE_CLF_L1.npz,461.847713
Worm,with_llc_none/Worm_with_llc_none_NODE.npz,1477.564367
Worm,with_llc_none/Worm_with_llc_none_NODE_CLF.npz,1098.885146
Worm,with_llc_none/Worm_with_llc_none_NODE_CLF_L1.npz,460.464259
Worm,with_llc_unmatched_const/Worm_with_llc_unmatched-const_NODE.npz,2038.948835
Worm,with_llc_unmatched_const/Worm_with_llc_unmatched-const_NODE_CLF.npz,1349.797205
Worm,with_llc_unmatched_const/Worm_with_llc_unmatched-const_NODE_CLF_L1.npz,496.103598
Worm,with_llc_unmatched_sine/Worm_with_llc_unmatched-sine_NODE.npz,1944.515169
Worm,with_llc_unmatched_sine/Worm_with_llc_unmatched-sine_NODE_CLF.npz,1297.531473
Worm,with_llc_unmatched_sine/Worm_with_llc_unmatched-sine_NODE_CLF_L1.npz,543.628276
