shape,relpath,dtw_vs_avg_demo
Angle,no_llc_pulse/Angle_no_llc_direct-midpulse_NODE.npz,8057.544520
Angle,no_llc_pulse/Angle_no_llc_direct-midpulse_NODE_CLF.npz,6410.318170
Angle,no_llc_pulse/Angle_no_llc_direct-midpulse_NODE_CLF_L1.npz,2654.780273
Angle,with_llc_matched_const/Angle_with_llc_matched-const_NODE.npz,2299.260786
Angle,with_llc_matched_const/Angle_with_llc_matched-const_NODE_CLF.npz,2273.979697
Angle,with_llc_matched_const/Angle_with_llc_matched-const_NODE_CLF_L1.npz,1979.030652
Angle,with_llc_matched_sine/Angle_with_llc_matched-sine_NODE.npz,2283.183027
Angle,with_llc_matched_sine/Angle_with_llc_matched-sine_NODE_CLF.npz,2266.399286
Angle,with_llc_matched_sine/Angle_with_llc_matched-sine_NODE_CLF_L1.npz,1976.619098
Angle,with_llc_none/Angle_with_llc_none_NODE.npz,2299.041201
Angle,with_llc_none/Angle_with_llc_none_NODE_CLF.npz,2274.101703
Angle,with_llc_none/Angle_with_llc_none_NODE_CLF_L1.npz,1978.976929
Angle,with_llc_unmatched_const/Angle_with_llc_unmatched-const_NODE.npz,4252.217042
Angle,with_llc_unmatched_const/Angle_with_llc_unmatched-const_NODE_CLF.npz,2808.607293
Angle,with_llc_unmatched_const/Angle_with_llc_unmatched-const_NODE_CLF_L1.npz,1978.364764
Angle,with_llc_unmatched_sine/Angle_with_llc_unmatched-sine_NODE.npz,3934.413057
Angle,with_llc_unmatched_sine/Angle_with_llc_unmatched-sine_NODE_CLF.npz,3606.128592
Angle,with_llc_unmatched_sine/Angle_with_llc_unmatched-sine_NODE_CLF_L1.npz,2398.667999
CShape,no_llc_pulse/CShape_no_llc_direct-midpulse_NODE.npz,4510.320839
CShape,no_llc_pulse/CShape_no_llc_direct-midpulse_NODE_CLF.npz,2628.651327
CShape,no_llc_pulse/CShape_no_llc_direct-midpulse_NODE_CLF_L1.npz,1042.364406
CShape,with_llc_matched_const/CShape_with_llc_matched-const_NODE.npz,3372.649499
CShape,with_llc_matched_const/CShape_with_llc_matched-const_NODE_CLF.npz,2038.334522
CShape,with_llc_matched_const/CShape_with_llc_matched-const_NODE_CLF_L1.npz,518.080593
CShape,with_llc_matched_sine/CShape_with_llc_matched-sine_NODE.npz,3387.734898
CShape,with_llc_matched_sine/CShape_with_llc_matched-sine_NODE_CLF.npz,2036.283922
CShape,with_llc_matched_sine/CShape_with_llc_matched-sine_NODE_CLF_L1.npz,516.343716
CShape,with_llc_none/CShape_with_llc_none_NODE.npz,3373.613031
CShape,with_llc_none/CShape_with_llc_none_NODE_CLF.npz,2039.132566
CShape,with_llc_none/CShape_with_llc_none_NODE_CLF_L1.npz,518.073900
CShape,with_llc_unmatched_const/CShape_with_llc_unmatched-const_NODE.npz,4640.554406
CShape,with_llc_unmatched_const/CShape_with_llc_unmatched-const_NODE_CLF.npz,2179.945615
CShape,with_llc_unmatched_const/CShape_with_llc_unmatched-const_NODE_CLF_L1.npz,438.963761
CShape,with_llc_unmatched_sine/CShape_with_llc_unmatched-sine_NODE.npz,4955.399287
CShape,with_llc_unmatched_sine/CShape_with_llc_unmatched-sine_NODE_CLF.npz,3849.682590
CShape,with_llc_unmatched_sine/CShape_with_llc_unmatched-sine_NODE_CLF_L1.npz,578.782637
DoubleBendedLine,no_llc_pulse/DoubleBendedLine_no_llc_direct-midpulse_NODE.npz,6379.828452
DoubleBendedLine,no_llc_pulse/DoubleBendedLine_no_llc_direct-midpulse_NODE_CLF.npz,2994.306567
DoubleBendedLine,no_llc_pulse/DoubleBendedLine_no_llc_direct-midpulse_NODE_CLF_L1.npz,569.796403
DoubleBendedLine,with_llc_matched_const/DoubleBendedLine_with_llc_matched-const_NODE.npz,10126.007682
DoubleBendedLine,with_llc_matched_const/DoubleBendedLine_with_llc_matched-const_NODE_CLF.npz,3427.033564
DoubleBendedLine,with_llc_matched_const/DoubleBendedLine_with_llc_matched-const_NODE_CLF_L1.npz,1284.644910
DoubleBendedLine,with_llc_matched_sine/DoubleBendedLine_with_llc_matched-sine_NODE.npz,10200.024149
DoubleBendedLine,with_llc_matched_sine/DoubleBendedLine_with_llc_matched-sine_NODE_CLF.npz,3428.945825
DoubleBendedLine,with_llc_matched_sine/DoubleBendedLine_with_llc_matched-sine_NODE_CLF_L1.npz,1282.966291
DoubleBendedLine,with_llc_none/DoubleBendedLine_with_llc_none_NODE.npz,10127.284231
DoubleBendedLine,with_llc_none/DoubleBendedLine_with_llc_none_NODE_CLF.npz,3426.674136
DoubleBendedLine,with_llc_none/DoubleBendedLine_with_llc_none_NODE_CLF_L1.npz,1284.623835
DoubleBendedLine,with_llc_unmatched_const/DoubleBendedLine_with_llc_unmatched-const_NODE.npz,11224.822395
