shape,relpath,dtw_vs_avg_demo
Angle,Angle_no_llc_direct-midpulse_sel-le_NODE.npz,8057.544520
Angle,Angle_no_llc_direct-midpulse_sel-le_NODE_CLF.npz,6654.631133
Angle,Angle_no_llc_direct-midpulse_sel-le_NODE_CLF_L1.npz,2701.631801
Angle,Angle_with_llc_matched-const_sel-le_NODE.npz,2302.944254
Angle,Angle_with_llc_matched-const_sel-le_NODE_CLF.npz,2296.768452
Angle,Angle_with_llc_matched-const_sel-le_NODE_CLF_L1.npz,1964.149201
Angle,Angle_with_llc_matched-sine_sel-le_NODE.npz,2287.051627
Angle,Angle_with_llc_matched-sine_sel-le_NODE_CLF.npz,2279.712364
Angle,Angle_with_llc_matched-sine_sel-le_NODE_CLF_L1.npz,1964.371704
Angle,Angle_with_llc_none_sel-le_NODE.npz,2303.918775
Angle,Angle_with_llc_none_sel-le_NODE_CLF.npz,2296.625062
Angle,Angle_with_llc_none_sel-le_NODE_CLF_L1.npz,1964.095621
Angle,Angle_with_llc_unmatched-const_sel-le_NODE.npz,4273.705344
Angle,Angle_with_llc_unmatched-const_sel-le_NODE_CLF.npz,2831.750099
Angle,Angle_with_llc_unmatched-const_sel-le_NODE_CLF_L1.npz,1969.658621
Angle,Angle_with_llc_unmatched-sine_sel-le_NODE.npz,3940.884996
Angle,Angle_with_llc_unmatched-sine_sel-le_NODE_CLF.npz,3428.462426
Angle,Angle_with_llc_unmatched-sine_sel-le_NODE_CLF_L1.npz,2394.874518
