shape,relpath,dtw_vs_avg_demo
CShape,CShape_no_llc_direct-midpulse_sel-le_NODE.npz,4510.320839
CShape,CShape_no_llc_direct-midpulse_sel-le_NODE_CLF.npz,3298.663465
CShape,CShape_no_llc_direct-midpulse_sel-le_NODE_CLF_L1.npz,1055.199043
CShape,CShape_with_llc_matched-const_sel-le_NODE.npz,3385.276875
CShape,CShape_with_llc_matched-const_sel-le_NODE_CLF.npz,2131.148162
CShape,CShape_with_llc_matched-const_sel-le_NODE_CLF_L1.npz,504.680760
CShape,CShape_with_llc_matched-sine_sel-le_NODE.npz,3400.531430
CShape,CShape_with_llc_matched-sine_sel-le_NODE_CLF.npz,2130.240577
CShape,CShape_with_llc_matched-sine_sel-le_NODE_CLF_L1.npz,503.163483
CShape,CShape_with_llc_none_sel-le_NODE.npz,3386.265884
CShape,CShape_with_llc_none_sel-le_NODE_CLF.npz,2131.876885
CShape,CShape_with_llc_none_sel-le_NODE_CLF_L1.npz,504.666133
CShape,CShape_with_llc_unmatched-const_sel-le_NODE.npz,4688.488404
CShape,CShape_with_llc_unmatched-const_sel-le_NODE_CLF.npz,2483.191204
CShape,CShape_with_llc_unmatched-const_sel-le_NODE_CLF_L1.npz,430.491915
CShape,CShape_with_llc_unmatched-sine_sel-le_NODE.npz,4994.042556
CShape,CShape_with_llc_unmatched-sine_sel-le_NODE_CLF.npz,4186.921739
CShape,CShape_with_llc_unmatched-sine_sel-le_NODE_CLF_L1.npz,558.835575
