shape,relpath,dtw_vs_avg_demo
DoubleBendedLine,DoubleBendedLine_no_llc_direct-midpulse_sel-le_NODE.npz,6379.828452
DoubleBendedLine,DoubleBendedLine_no_llc_direct-midpulse_sel-le_NODE_CLF.npz,3424.221288
DoubleBendedLine,DoubleBendedLine_no_llc_direct-midpulse_sel-le_NODE_CLF_L1.npz,817.523088
DoubleBendedLine,DoubleBendedLine_with_llc_matched-const_sel-le_NODE.npz,10112.203855
DoubleBendedLine,DoubleBendedLine_with_llc_matched-const_sel-le_NODE_CLF.npz,3792.408627
DoubleBendedLine,DoubleBendedLine_with_llc_matched-const_sel-le_NODE_CLF_L1.npz,1448.996692
DoubleBendedLine,DoubleBendedLine_with_llc_matched-sine_sel-le_NODE.npz,10185.549401
DoubleBendedLine,DoubleBendedLine_with_llc_matched-sine_sel-le_NODE_CLF.npz,3791.516049
DoubleBendedLine,DoubleBendedLine_with_llc_matched-sine_sel-le_NODE_CLF_L1.npz,1447.129501
DoubleBendedLine,DoubleBendedLine_with_llc_none_sel-le_NODE.npz,10113.418267
DoubleBendedLine,DoubleBendedLine_with_llc_none_sel-le_NODE_CLF.npz,3791.937590
DoubleBendedLine,DoubleBendedLine_with_llc_none_sel-le_NODE_CLF_L1.npz,1448.978199
DoubleBendedLine,DoubleBendedLine_with_llc_unmatched-const_sel-le_NODE.npz,11204.821140
DoubleBendedLine,DoubleBendedLine_with_llc_unmatched-const_sel-le_NODE_CLF.npz,3721.657480
DoubleBendedLine,DoubleBendedLine_with_llc_unmatched-const_sel-le_NODE_CLF_L1.npz,1392.631669
DoubleBendedLine,DoubleBendedLine_with_llc_unmatched-sine_sel-le_NODE.npz,11614.166075
DoubleBendedLine,DoubleBendedLine_with_llc_unmatched-sine_sel-le_NODE_CLF.npz,4310.134459
DoubleBendedLine,DoubleBendedLine_with_llc_unmatched-sine_sel-le_NODE_CLF_L1.npz,1431.366077
