shape,relpath,dtw_vs_avg_demo
GShape,GShape_no_llc_direct-midpulse_sel-le_NODE.npz,6839.420142
GShape,GShape_no_llc_direct-midpulse_sel-le_NODE_CLF.npz,4369.879183
GShape,GShape_no_llc_direct-midpulse_sel-le_NODE_CLF_L1.npz,1829.944768
GShape,GShape_with_llc_matched-const_sel-le_NODE.npz,9145.834019
GShape,GShape_with_llc_matched-const_sel-le_NODE_CLF.npz,4143.286481
GShape,GShape_with_llc_matched-const_sel-le_NODE_CLF_L1.npz,741.977370
GShape,GShape_with_llc_matched-sine_sel-le_NODE.npz,9149.605366
GShape,GShape_with_llc_matched-sine_sel-le_NODE_CLF.npz,4139.132100
GShape,GShape_with_llc_matched-sine_sel-le_NODE_CLF_L1.npz,740.792520
GShape,GShape_with_llc_none_sel-le_NODE.npz,9145.972040
GShape,GShape_with_llc_none_sel-le_NODE_CLF.npz,4143.049593
GShape,GShape_with_llc_none_sel-le_NODE_CLF_L1.npz,741.959550
GShape,GShape_with_llc_unmatched-const_sel-le_NODE.npz,8112.160248
GShape,GShape_with_llc_unmatched-const_sel-le_NODE_CLF.npz,3957.910330
GShape,GShape_with_llc_unmatched-const_sel-le_NODE_CLF_L1.npz,702.600239
GShape,GShape_with_llc_unmatched-sine_sel-le_NODE.npz,10225.804153
GShape,GShape_with_llc_unmatched-sine_sel-le_NODE_CLF.npz,4343.689733
GShape,GShape_with_llc_unmatched-sine_sel-le_NODE_CLF_L1.npz,763.213640
