shape,relpath,dtw_vs_avg_demo
PShape,PShape_no_llc_direct-midpulse_sel-le_NODE.npz,6206.087379
PShape,PShape_no_llc_direct-midpulse_sel-le_NODE_CLF.npz,3658.961386
PShape,PShape_no_llc_direct-midpulse_sel-le_NODE_CLF_L1.npz,966.276520
PShape,PShape_with_llc_matched-const_sel-le_NODE.npz,6676.523010
PShape,PShape_with_llc_matched-const_sel-le_NODE_CLF.npz,2608.656219
PShape,PShape_with_llc_matched-const_sel-le_NODE_CLF_L1.npz,654.806255
PShape,PShape_with_llc_matched-sine_sel-le_NODE.npz,6622.158089
PShape,PShape_with_llc_matched-sine_sel-le_NODE_CLF.npz,2599.436843
PShape,PShape_with_llc_matched-sine_sel-le_NODE_CLF_L1.npz,655.245041
PShape,PShape_with_llc_none_sel-le_NODE.npz,6680.607232
PShape,PShape_with_llc_none_sel-le_NODE_CLF.npz,2608.618779
PShape,PShape_with_llc_none_sel-le_NODE_CLF_L1.npz,654.844195
PShape,PShape_with_llc_unmatched-const_sel-le_NODE.npz,5219.538449
PShape,PShape_with_llc_unmatched-const_sel-le_NODE_CLF.npz,3147.572206
PShape,PShape_with_llc_unmatched-const_sel-le_NODE_CLF_L1.npz,624.564187
PShape,PShape_with_llc_unmatched-sine_sel-le_NODE.npz,3140.858288
PShape,PShape_with_llc_unmatched-sine_sel-le_NODE_CLF.npz,1222.193157
PShape,PShape_with_llc_unmatched-sine_sel-le_NODE_CLF_L1.npz,501.524450
