shape,relpath,dtw_vs_avg_demo
Sine,Sine_no_llc_direct-midpulse_sel-le_NODE.npz,3942.774065
Sine,Sine_no_llc_direct-midpulse_sel-le_NODE_CLF.npz,3044.369147
Sine,Sine_no_llc_direct-midpulse_sel-le_NODE_CLF_L1.npz,590.039040
Sine,Sine_with_llc_matched-const_sel-le_NODE.npz,1837.597923
Sine,Sine_with_llc_matched-const_sel-le_NODE_CLF.npz,2123.587971
Sine,Sine_with_llc_matched-const_sel-le_NODE_CLF_L1.npz,741.203982
Sine,Sine_with_llc_matched-sine_sel-le_NODE.npz,1851.587894
Sine,Sine_with_llc_matched-sine_sel-le_NODE_CLF.npz,2098.749923
Sine,Sine_with_llc_matched-sine_sel-le_NODE_CLF_L1.npz,743.096604
Sine,Sine_with_llc_none_sel-le_NODE.npz,1838.220106
Sine,Sine_with_llc_none_sel-le_NODE_CLF.npz,2121.942271
Sine,Sine_with_llc_none_sel-le_NODE_CLF_L1.npz,741.242162
Sine,Sine_with_llc_unmatched-const_sel-le_NODE.npz,3375.653363
Sine,Sine_with_llc_unmatched-const_sel-le_NODE_CLF.npz,1836.734386
Sine,Sine_with_llc_unmatched-const_sel-le_NODE_CLF_L1.npz,729.317861
Sine,Sine_with_llc_unmatched-sine_sel-le_NODE.npz,2458.250838
Sine,Sine_with_llc_unmatched-sine_sel-le_NODE_CLF.npz,2134.056385
Sine,Sine_with_llc_unmatched-sine_sel-le_NODE_CLF_L1.npz,642.641730
