shape,relpath,dtw_vs_avg_demo
Snake,Snake_no_llc_direct-midpulse_sel-le_NODE.npz,9807.144000
Snake,Snake_no_llc_direct-midpulse_sel-le_NODE_CLF.npz,6896.439751
Snake,Snake_no_llc_direct-midpulse_sel-le_NODE_CLF_L1.npz,1298.310617
Snake,Snake_with_llc_matched-const_sel-le_NODE.npz,2235.046957
Snake,Snake_with_llc_matched-const_sel-le_NODE_CLF.npz,2221.948615
Snake,Snake_with_llc_matched-const_sel-le_NODE_CLF_L1.npz,872.848823
Snake,Snake_with_llc_matched-sine_sel-le_NODE.npz,2232.141628
Snake,Snake_with_llc_matched-sine_sel-le_NODE_CLF.npz,2232.506921
Snake,Snake_with_llc_matched-sine_sel-le_NODE_CLF_L1.npz,872.362075
Snake,Snake_with_llc_none_sel-le_NODE.npz,2234.808920
Snake,Snake_with_llc_none_sel-le_NODE_CLF.npz,2221.872042
Snake,Snake_with_llc_none_sel-le_NODE_CLF_L1.npz,872.882717
Snake,Snake_with_llc_unmatched-const_sel-le_NODE.npz,4384.086662
Snake,Snake_with_llc_unmatched-const_sel-le_NODE_CLF.npz,3415.267445
Snake,Snake_with_llc_unmatched-const_sel-le_NODE_CLF_L1.npz,854.057414
Snake,Snake_with_llc_unmatched-sine_sel-le_NODE.npz,3286.323444
Snake,Snake_with_llc_unmatched-sine_sel-le_NODE_CLF.npz,2619.760175
Snake,Snake_with_llc_unmatched-sine_sel-le_NODE_CLF_L1.npz,878.160439
