shape,relpath,dtw_vs_avg_demo
Sshape,Sshape_no_llc_direct-midpulse_sel-le_NODE.npz,3945.872489
Sshape,Sshape_no_llc_direct-midpulse_sel-le_NODE_CLF.npz,4345.416088
Sshape,Sshape_no_llc_direct-midpulse_sel-le_NODE_CLF_L1.npz,885.139538
Sshape,Sshape_with_llc_matched-const_sel-le_NODE.npz,2623.583029
Sshape,Sshape_with_llc_matched-const_sel-le_NODE_CLF.npz,2707.965753
Sshape,Sshape_with_llc_matched-const_sel-le_NODE_CLF_L1.npz,904.500808
Sshape,Sshape_with_llc_matched-sine_sel-le_NODE.npz,2650.256805
Sshape,Sshape_with_llc_matched-sine_sel-le_NODE_CLF.npz,2719.083253
Sshape,Sshape_with_llc_matched-sine_sel-le_NODE_CLF_L1.npz,905.027411
Sshape,Sshape_with_llc_none_sel-le_NODE.npz,2623.824801
Sshape,Sshape_with_llc_none_sel-le_NODE_CLF.npz,2707.854094
Sshape,Sshape_with_llc_none_sel-le_NODE_CLF_L1.npz,904.506114
Sshape,Sshape_with_llc_unmatched-const_sel-le_NODE.npz,6402.694734
Sshape,Sshape_with_llc_unmatched-const_sel-le_NODE_CLF.npz,4983.527199
Sshape,Sshape_with_llc_unmatched-const_sel-le_NODE_CLF_L1.npz,939.436333
Sshape,Sshape_with_llc_unmatched-sine_sel-le_NODE.npz,2681.592446
Sshape,Sshape_with_llc_unmatched-sine_sel-le_NODE_CLF.npz,1984.887886
Sshape,Sshape_with_llc_unmatched-sine_sel-le_NODE_CLF_L1.npz,863.422948
