shape,relpath,dtw_vs_avg_demo
WShape,WShape_no_llc_direct-midpulse_sel-le_NODE.npz,5788.309079
WShape,WShape_no_llc_direct-midpulse_sel-le_NODE_CLF.npz,5950.526246
WShape,WShape_no_llc_direct-midpulse_sel-le_NODE_CLF_L1.npz,4988.533825
WShape,WShape_with_llc_matched-const_sel-le_NODE.npz,5264.735040
WShape,WShape_with_llc_matched-const_sel-le_NODE_CLF.npz,5119.670201
WShape,WShape_with_llc_matched-const_sel-le_NODE_CLF_L1.npz,4628.271826
WShape,WShape_with_llc_matched-sine_sel-le_NODE.npz,5261.564357
WShape,WShape_with_llc_matched-sine_sel-le_NODE_CLF.npz,5128.893633
WShape,WShape_with_llc_matched-sine_sel-le_NODE_CLF_L1.npz,4628.732275
WShape,WShape_with_llc_none_sel-le_NODE.npz,5264.957691
WShape,WShape_with_llc_none_sel-le_NODE_CLF.npz,5119.517167
WShape,WShape_with_llc_none_sel-le_NODE_CLF_L1.npz,4628.236858
WShape,WShape_with_llc_unmatched-const_sel-le_NODE.npz,5744.698046
WShape,WShape_with_llc_unmatched-const_sel-le_NODE_CLF.npz,5180.895526
WShape,WShape_with_llc_unmatched-const_sel-le_NODE_CLF_L1.npz,4690.507874
WShape,WShape_with_llc_unmatched-sine_sel-le_NODE.npz,6006.215924
WShape,WShape_with_llc_unmatched-sine_sel-le_NODE_CLF.npz,6099.483845
WShape,WShape_with_llc_unmatched-sine_sel-le_NODE_CLF_L1.npz,4805.909466
