shape,relpath,dtw_vs_avg_demo
Worm,Worm_no_llc_direct-midpulse_sel-le_NODE.npz,5129.570528
Worm,Worm_no_llc_direct-midpulse_sel-le_NODE_CLF.npz,4635.412486
Worm,Worm_no_llc_direct-midpulse_sel-le_NODE_CLF_L1.npz,1075.305267
Worm,Worm_with_llc_matched-const_sel-le_NODE.npz,1477.641050
Worm,Worm_with_llc_matched-const_sel-le_NODE_CLF.npz,1144.490385
Worm,Worm_with_llc_matched-const_sel-le_NODE_CLF_L1.npz,439.185107
Worm,Worm_with_llc_matched-sine_sel-le_NODE.npz,1437.524410
Worm,Worm_with_llc_matched-sine_sel-le_NODE_CLF.npz,1125.915025
Worm,Worm_with_llc_matched-sine_sel-le_NODE_CLF_L1.npz,439.106778
Worm,Worm_with_llc_none_sel-le_NODE.npz,1477.348162
Worm,Worm_with_llc_none_sel-le_NODE_CLF.npz,1144.572630
Worm,Worm_with_llc_none_sel-le_NODE_CLF_L1.npz,439.184426
Worm,Worm_with_llc_unmatched-const_sel-le_NODE.npz,2031.854784
Worm,Worm_with_llc_unmatched-const_sel-le_NODE_CLF.npz,1313.974860
Worm,Worm_with_llc_unmatched-const_sel-le_NODE_CLF_L1.npz,426.166964
Worm,Worm_with_llc_unmatched-sine_sel-le_NODE.npz,1936.999655
Worm,Worm_with_llc_unmatched-sine_sel-le_NODE_CLF.npz,1420.107591
Worm,Worm_with_llc_unmatched-sine_sel-le_NODE_CLF_L1.npz,536.166853
