shape,relpath,dtw_vs_avg_demo
Angle,Angle_no_llc_direct-midpulse_sel-le_NODE.npz,8057.544520
Angle,Angle_no_llc_direct-midpulse_sel-le_NODE_CLF.npz,6654.631133
Angle,Angle_no_llc_direct-midpulse_sel-le_NODE_CLF_L1.npz,2701.631801
Angle,Angle_with_llc_matched-const_sel-le_NODE.npz,2302.944254
Angle,Angle_with_llc_matched-const_sel-le_NODE_CLF.npz,2296.768452
Angle,Angle_with_llc_matched-const_sel-le_NODE_CLF_L1.npz,1964.149201
Angle,Angle_with_llc_matched-sine_sel-le_NODE.npz,2287.051627
Angle,Angle_with_llc_matched-sine_sel-le_NODE_CLF.npz,2279.712364
Angle,Angle_with_llc_matched-sine_sel-le_NODE_CLF_L1.npz,1964.371704
Angle,Angle_with_llc_none_sel-le_NODE.npz,2303.918775
Angle,Angle_with_llc_none_sel-le_NODE_CLF.npz,2296.625062
Angle,Angle_with_llc_none_sel-le_NODE_CLF_L1.npz,1964.095621
Angle,Angle_with_llc_unmatched-const_sel-le_NODE.npz,4273.705344
Angle,Angle_with_llc_unmatched-const_sel-le_NODE_CLF.npz,2831.750099
Angle,Angle_with_llc_unmatched-const_sel-le_NODE_CLF_L1.npz,1969.658621
Angle,Angle_with_llc_unmatched-sine_sel-le_NODE.npz,3940.884996
Angle,Angle_with_llc_unmatched-sine_sel-le_NODE_CLF.npz,3428.462426
Angle,Angle_with_llc_unmatched-sine_sel-le_NODE_CLF_L1.npz,2394.874518
CShape,CShape_no_llc_direct-midpulse_sel-le_NODE.npz,4510.320839
CShape,CShape_no_llc_direct-midpulse_sel-le_NODE_CLF.npz,3298.663465
CShape,CShape_no_llc_direct-midpulse_sel-le_NODE_CLF_L1.npz,1055.199043
CShape,CShape_with_llc_matched-const_sel-le_NODE.npz,3385.276875
CShape,CShape_with_llc_matched-const_sel-le_NODE_CLF.npz,2131.148162
CShape,CShape_with_llc_matched-const_sel-le_NODE_CLF_L1.npz,504.680760
CShape,CShape_with_llc_matched-sine_sel-le_NODE.npz,3400.531430
CShape,CShape_with_llc_matched-sine_sel-le_NODE_CLF.npz,2130.240577
CShape,CShape_with_llc_matched-sine_sel-le_NODE_CLF_L1.npz,503.163483
CShape,CShape_with_llc_none_sel-le_NODE.npz,3386.265884
CShape,CShape_with_llc_none_sel-le_NODE_CLF.npz,2131.876885
CShape,CShape_with_llc_none_sel-le_NODE_CLF_L1.npz,504.666133
CShape,CShape_with_llc_unmatched-const_sel-le_NODE.npz,4688.488404
CShape,CShape_with_llc_unmatched-const_sel-le_NODE_CLF.npz,2483.191204
CShape,CShape_with_llc_unmatched-const_sel-le_NODE_CLF_L1.npz,430.491915
CShape,CShape_with_llc_unmatched-sine_sel-le_NODE.npz,4994.042556
CShape,CShape_with_llc_unmatched-sine_sel-le_NODE_CLF.npz,4186.921739
CShape,CShape_with_llc_unmatched-sine_sel-le_NODE_CLF_L1.npz,558.835575
DoubleBendedLine,DoubleBendedLine_no_llc_direct-midpulse_sel-le_NODE.npz,6379.828452
DoubleBendedLine,DoubleBendedLine_no_llc_direct-midpulse_sel-le_NODE_CLF.npz,3424.221288
DoubleBendedLine,DoubleBendedLine_no_llc_direct-midpulse_sel-le_NODE_CLF_L1.npz,817.523088
DoubleBendedLine,DoubleBendedLine_with_llc_matched-const_sel-le_NODE.npz,10112.203855
DoubleBendedLine,DoubleBendedLine_with_llc_matched-const_sel-le_NODE_CLF.npz,3792.408627
DoubleBendedLine,DoubleBendedLine_with_llc_matched-const_sel-le_NODE_CLF_L1.npz,1448.996692
DoubleBendedLine,DoubleBendedLine_with_llc_matched-sine_sel-le_NODE.npz,10185.549401
DoubleBendedLine,DoubleBendedLine_with_llc_matched-sine_sel-le_NODE_CLF.npz,3791.516049
DoubleBendedLine,DoubleBendedLine_with_llc_matched-sine_sel-le_NODE_CLF_L1.npz,1447.129501
DoubleBendedLine,DoubleBendedLine_with_llc_none_sel-le_NODE.npz,10113.418267
DoubleBendedLine,DoubleBendedLine_with_llc_none_sel-le_NODE_CLF.npz,3791.937590
DoubleBendedLine,DoubleBendedLine_with_llc_none_sel-le_NODE_CLF_L1.npz,1448.978199
DoubleBendedLine,DoubleBendedLine_with_llc_unmatched-const_sel-le_NODE.npz,11204.821140
DoubleBendedLine,DoubleBendedLine_with_llc_unmatched-const_sel-le_NODE_CLF.npz,3721.657480
DoubleBendedLine,DoubleBendedLine_with_llc_unmatched-const_sel-le_NODE_CLF_L1.npz,1392.631669
DoubleBendedLine,DoubleBendedLine_with_llc_unmatched-sine_sel-le_NODE.npz,11614.166075
DoubleBendedLine,DoubleBendedLine_with_llc_unmatched-sine_sel-le_NODE_CLF.npz,4310.134459
