shape,disturbance,dtw_node,dtw_node_clf,dtw_l1_node,norm_node,norm_node_clf,norm_l1_node
IShape,no_llc_pulses,2876.305449142187,2513.7048477038916,2306.0740142997006,1.0,0.8739352937823639,0.8017486512037346
IShape,with_llc_matched_multisine,2204.425472612067,2226.7639290125635,2223.4636078024614,1.0,1.010133459569412,1.0086363251681336
IShape,with_llc_matched_multisine_unmatched_pulse,2255.7701319494163,2311.9530721125134,2264.7135488120794,1.0,1.0249063232850522,1.0039646844933328
IShape,with_llc_unmatched_chirp,2285.2598876913275,2300.454908111235,2264.1892107723866,1.0,1.0066491432776419,0.9907797458694173
IShape,with_llc_unmatched_const,27864.004053919998,9676.3277276438,2492.519735189239,1.0,0.3472698219867831,0.08945303519070452
IShape,with_llc_unmatched_multisine,2192.8890164537816,2216.2891075279495,2234.249721533871,1.0,1.01067089620067,1.0188612851675345
IShape,with_llc_unmatched_pulse,2255.7675834998563,2311.9557842561926,2264.717545181143,1.0,1.0249086834864252,1.0039675903434169
RShape,no_llc_pulses,7368.637321808723,6866.9538481346635,6779.803370069187,1.0,0.9319163840254097,0.9200891662835973
RShape,with_llc_matched_multisine,7546.358369741589,7041.798456115239,6954.791067039676,1.0,0.9331386227760573,0.9216089040942048
RShape,with_llc_matched_multisine_unmatched_pulse,7853.792786188417,7059.570255522718,6943.698196424996,1.0,0.8988740151048537,0.8841203715784427
RShape,with_llc_unmatched_chirp,7679.603861460296,7029.759561019254,6940.398505495234,1.0,0.9153804919935711,0.9037443376897698
RShape,with_llc_unmatched_const,10642.878491286256,8149.084318346516,6911.287442555688,1.0,0.7656842389977949,0.6493814101339438
RShape,with_llc_unmatched_multisine,7614.193902305967,7045.880520737871,6962.3056833160745,1.0,0.9253613200740815,0.9143851302772225
RShape,with_llc_unmatched_pulse,7853.773568625577,7059.575772690142,6943.655486642094,1.0,0.8988769170646689,0.8841170968285561
