shape,disturbance,dtw_node,dtw_node_clf,dtw_l1_node,norm_node,norm_node_clf,norm_l1_node
IShape,no_llc_pulses,2876.305449142187,2795.692407927764,2418.677637410555,1.0,0.9719734073311078,0.8408973525853756
IShape,with_llc_matched_multisine,2204.8759402213273,2217.540391990037,2232.025090125285,1.0,1.0057438387066069,1.0123132324176172
IShape,with_llc_matched_multisine_unmatched_pulse,2244.497876341151,2226.0005255743827,2148.1664294345196,1.0,0.9917588022863619,0.9570810701484533
IShape,with_llc_unmatched_chirp,2299.1916140404387,2330.2787136951083,2293.7356806507432,1.0,1.0135208824983661,0.9976270210119166
IShape,with_llc_unmatched_const,27898.812357579412,10472.036116616951,2602.1874707067514,1.0,0.3753577744599569,0.09327233852661838
IShape,with_llc_unmatched_multisine,2193.1281824777834,2214.171684199571,2238.2843698126976,1.0,1.0095951991725411,1.0205898532040645
IShape,with_llc_unmatched_pulse,2244.501414406443,2226.0052029494286,2148.21744859341,1.0,0.9917593228775462,0.9571022922084034
OShape,no_llc_pulses,3210.034858263888,2946.2440329703677,3350.0180871427533,1.0,0.9178230651874638,1.0436080089655393
OShape,with_llc_matched_multisine,3294.908405075913,2994.7708620043945,2928.157105258085,1.0,0.9089086838926549,0.8886915037599116
OShape,with_llc_matched_multisine_unmatched_pulse,3228.684592552877,3009.918491344365,2938.2296663831776,1.0,0.9322429630589786,0.9100392380105359
OShape,with_llc_unmatched_chirp,3416.590728346226,3065.12402792648,2908.564092963935,1.0,0.8971294110518555,0.8513059725979536
OShape,with_llc_unmatched_const,19974.76584283672,11913.882658715425,3314.002729390917,1.0,0.5964466743918272,0.16590946574622165
OShape,with_llc_unmatched_multisine,3087.207655348316,2928.664294262044,2873.955018398251,1.0,0.9486450609139915,0.9309237794287586
OShape,with_llc_unmatched_pulse,3228.772025211649,3009.917047417036,2938.24215119876,1.0,0.9322172714314609,0.9100184615871587
RShape,no_llc_pulses,7368.637321808723,6944.08724630342,6849.329018853801,1.0,0.9423841808242108,0.9295245131120864
RShape,with_llc_matched_multisine,7541.702271390541,7224.954153072665,7091.697982505422,1.0,0.9580004477875691,0.9403312047212192
RShape,with_llc_matched_multisine_unmatched_pulse,7847.079595205963,7296.005910104091,7068.530198608858,1.0,0.9297734044346203,0.900784822283089
RShape,with_llc_unmatched_chirp,7673.907212447868,7255.966808052032,7088.726751496457,1.0,0.9455374696584951,0.923744131281365
RShape,with_llc_unmatched_const,10677.864042301024,8239.674340589101,7024.351299736979,1.0,0.7716594168971544,0.6578423617223045
RShape,with_llc_unmatched_multisine,7609.0876547310545,7440.807822660667,7120.625137037246,1.0,0.9778843614758784,0.9358053764316803
RShape,with_llc_unmatched_pulse,7847.073404948682,7296.093519314983,7068.6550579685145,1.0,0.9297853024687868,0.9008014444609037
SShape,no_llc_pulses,2506.2726585393893,2234.4541481363467,2324.529271325974,1.0,0.8915447170215496,0.9274845908747487
SShape,with_llc_matched_multisine,2229.5962347554155,2228.089252767428,2014.0018622482908,1.0,0.9993241009450518,0.9033034012408192
SShape,with_llc_matched_multisine_unmatched_pulse,2238.7098400566356,2284.3790033076857,2029.1124692821925,1.0,1.020399768846281,0.9063758210089697
SShape,with_llc_unmatched_chirp,2311.9566377421916,2063.196216771804,1985.6303518701375,1.0,0.8924026441891566,0.8588527654261122
SShape,with_llc_unmatched_const,20166.39184250418,7085.63355404808,2023.2930275345052,1.0,0.35135851814174685,0.10032994713858842
SShape,with_llc_unmatched_multisine,2145.277008139944,2190.1046152862095,2207.418638194563,1.0,1.0208959528192274,1.0289667161018514
SShape,with_llc_unmatched_pulse,2238.6580301215467,2284.364989028164,2029.1273611735883,1.0,1.0204171241393827,0.9064034496878551
