shape,disturbance,dtw_seds,dtw_seds_clf,dtw_l1_seds,norm_seds,norm_seds_clf,norm_l1_seds
Angle,no_llc_pulses,79744.45631658868,5293.633088139757,522.473768218099,1.0,0.06638245882727975,0.006551850653340181
Angle,with_llc_matched_chirp,177.93991022058873,58.415573963864475,27.382856949587932,1.0,0.3282882063470067,0.1538882250510407
Angle,with_llc_matched_const,179.2844086869433,43.56656304652678,20.35438277049934,1.0,0.24300251965914307,0.11353124858749461
Angle,with_llc_matched_multisine,184.47741050640687,46.75452404237431,22.110310197090982,1.0,0.2534430850586475,0.11985375410678314
Angle,with_llc_matched_multisine_unmatched_pulse,2537.766911590166,576.8242914855161,166.14988699305826,1.0,0.22729600927930682,0.06547090130076157
Angle,with_llc_matched_pulse,175.66385589942035,50.40866135501166,22.999458511916686,1.0,0.28696091803810847,0.13092880373231394
Angle,with_llc_unmatched_chirp,1312.3468804895995,770.9530241739809,462.6375104784367,1.0,0.5874613150193645,0.35252684892719804
Angle,with_llc_unmatched_const,6947.453458859401,1096.1287686825083,128.11393137204794,1.0,0.1577741794419254,0.018440415920840305
Angle,with_llc_unmatched_multisine,423.56160314739054,225.7563345328118,125.91904384634825,1.0,0.5329952782671221,0.29728625756129046
Angle,with_llc_unmatched_pulse,2534.12040863715,574.5048322116963,165.79416020654264,1.0,0.22670778793840546,0.06542473658373114
CShape,no_llc_pulses,54642.27465711987,5359.692501521284,561.4295766630872,1.0,0.09808692143863593,0.010274637726669622
CShape,with_llc_matched_chirp,182.9813819256593,58.6360500000491,25.254973910128932,1.0,0.3204481755628638,0.13801936374264234
CShape,with_llc_matched_const,151.78974796415832,44.142211380363456,17.88295034699427,1.0,0.2908115467112221,0.11781395375408964
CShape,with_llc_matched_multisine,151.20430012233672,44.934787317456625,19.28116726113972,1.0,0.2971792950405556,0.12751732090648
CShape,with_llc_matched_multisine_unmatched_pulse,1260.723608321915,484.97410218973073,165.93917506691307,1.0,0.38467916281448483,0.13162216838930005
CShape,with_llc_matched_pulse,167.64610155227825,50.47342415448303,19.567624048366117,1.0,0.30107126671683176,0.11671982746502584
CShape,with_llc_unmatched_chirp,1494.3390354631665,778.2668339835867,475.7070058045401,1.0,0.5208100809214055,0.3183394092740781
CShape,with_llc_unmatched_const,2350.760726294701,982.6352450411841,130.86535352664254,1.0,0.4180073429208707,0.055669363565093326
CShape,with_llc_unmatched_multisine,402.87452456825423,229.81479383735095,132.61495137121966,1.0,0.5704376420515419,0.3291718470244258
CShape,with_llc_unmatched_pulse,1261.9008124083475,483.7212415911851,165.7576404257524,1.0,0.3833274666556394,0.13135552239593432
DoubleBendedLine,no_llc_pulses,114349.1090410462,5537.593809391616,532.8752922235393,1.0,0.048427083130169975,0.004660073844845271
DoubleBendedLine,with_llc_matched_chirp,59.710274156710774,23.788692646582582,10.989365633532813,1.0,0.39840200003350673,0.18404480282054994
DoubleBendedLine,with_llc_matched_const,39.72597382866931,9.882131847669058,4.610781064314367,1.0,0.24875744746469508,0.11606464536778388
DoubleBendedLine,with_llc_matched_multisine,47.74146977546703,14.865768650168661,6.791851094540608,1.0,0.3113806240168951,0.1422631336337857
DoubleBendedLine,with_llc_matched_multisine_unmatched_pulse,9662.249218765506,550.2344955604606,131.53367146757998,1.0,0.056946833299623904,0.013613152433713083
DoubleBendedLine,with_llc_matched_pulse,40.97422260585144,15.93323436688428,6.926746233004962,1.0,0.3888599552004408,0.1690513154974603
DoubleBendedLine,with_llc_unmatched_chirp,1477.1115835621445,797.104865550046,435.8833053856341,1.0,0.5396375429050385,0.29509165741864607
DoubleBendedLine,with_llc_unmatched_const,11213.846677417578,9605.009724569934,104.98629697718098,1.0,0.8565312154581607,0.009362201927426221
DoubleBendedLine,with_llc_unmatched_multisine,412.87793055788876,180.3914306978691,111.59675329895485,1.0,0.43691226230988095,0.2702899453796504
DoubleBendedLine,with_llc_unmatched_pulse,9670.065492563122,550.4693105895481,131.3430772351908,1.0,0.05692508608270471,0.013582439264367106
GShape,no_llc_pulses,47271.77584237774,5295.201641346158,606.3396752150445,1.0,0.11201613535743599,0.012826674361395136
GShape,with_llc_matched_chirp,316.8367920914843,60.857392292227566,20.083222007380897,1.0,0.19207804715639035,0.06338664734865139
